Color;Pos;Invervall
3;1;1000
1;4;550
3;1;900
0;2;750
2;5;600
0;0;300
1;3;400
2;0;1000
3;4;500
2;3;800
0;5;650
1;2;700
3;4;650
2;5;600
1;2;300
2;1;1000
1;5;900
0;0;800
3;1;750
2;0;400
1;3;1000
0;2;500
3;3;700
0;4;550
1;0;900
0;4;300
3;5;1000
0;3;550
2;2;1000
1;1;400
3;2;600
2;4;500
3;0;750
2;5;650
0;1;800
1;3;700
0;0;900
2;4;300
1;5;1000
3;3;550
1;2;1000
0;1;400
3;2;600
2;4;500
1;0;750
2;5;650
3;1;800
0;3;700
3;1;500
2;5;600
1;2;900
0;5;1000
3;4;650
1;0;550
3;3;800
0;2;700
2;4;1000
1;1;300
0;0;400
2;3;750
0;2;1000
2;4;400
3;0;750
1;4;900
2;1;300
3;0;650
0;3;550
2;5;800
1;3;500
0;2;1000
3;1;700
1;5;600
0;5;1000
2;2;650
1;5;900
2;4;600
0;2;400
3;4;300
1;1;700
3;0;750
1;3;500
2;1;1000
0;0;800
3;3;550
0;4;500
1;0;650
3;2;400
2;3;750
3;5;550
1;4;700
0;1;900
2;0;1000
3;3;300
0;5;800
2;2;600
1;1;1000
2;4;500
0;3;550
1;0;650
3;2;600
2;5;1000
0;4;700
1;1;400
2;3;1000
3;5;800
0;2;750
1;0;900
3;1;300
1;4;1000
3;1;800
3;5;550
2;2;400
0;3;700
3;5;600
1;2;500
0;3;300
2;4;650
0;0;1000
1;1;900
2;0;750
