BlockNumber;Time Since Block start in ms;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0.5435827;0.340589;0.9313324;0.4615053;2.564858;0;0;2.448694;1
0;0.4422836;instantiate;0;1;0.5435827;0.340589;0.8258039;0.4595789;2.304021;0;0;2.612949;2
0;0.8499546;instantiate;0;2;0.7886067;0.1613316;0.6480332;0.2989988;2.188748;0;0;3.058311;3
0;1.275358;instantiate;0;3;0.7989019;0.2573624;0.2880655;0.5330948;2.997731;0;0;2.250572;4
0;1.581867;instantiate;0;4;0.8043926;0.3008963;0.6507161;0.06382293;2.495472;0;0;2.663719;5
0;1.632813;mouse;1;4;0.807138;0.3008963;0.7975892;0.2912478;1.845668;0.8571734;1.632813;2.448694;6
0;1.904839;instantiate;0;5;0.7659575;0.1920615;0.5523423;0.7694438;2.276044;0;0;2.420682;6
0;2.397667;instantiate;0;6;0.4625944;0.4327785;0.9188645;0.3372312;2.969534;0;0;2.590132;7
0;2.618811;mouse;1;6;0.4385724;0.4225352;0.4448834;0.4251499;2.334067;0.9242224;1.343452;2.250572;8
0;2.806267;instantiate;0;7;0.4625944;0.4071703;0.3491866;0.9489653;2.60808;0;0;2.655495;8
0;3.061216;destroy;0;7;0.6280028;0.5288092;0.7115999;0.8506132;2.304021;0;2.618933;2.612949;8
0;3.299719;instantiate;0;8;0.6197667;0.5441741;0.9467047;0.4604545;2.271242;0;0;3.152408;9
0;3.350647;mouse;1;8;0.6190803;0.5441741;0.6200802;0.5689271;1.65029;0.9234431;1.445808;2.420682;8
0;3.639786;instantiate;0;9;0.6053535;0.206146;0.4946432;0.1624868;2.696391;0;0;2.929344;10
0;3.911781;destroy;0;9;0.8846946;0.212548;0.4927376;0.06824222;2.188748;0;3.061827;3.058311;10
0;4.047731;instantiate;0;10;0.9018531;0.3380282;0.2014075;0.5742218;3.214017;0;0;2.953223;11
0;4.251738;destroy;0;10;0.8627316;0.3943662;0.8348767;0.1122812;2.495472;0;2.66987;2.663719;11
0;4.319817;mouse;1;10;0.8538092;0.4033291;0.847595;0.4139781;1.871472;0.8346019;1.020098;3.152408;7
0;4.472748;instantiate;0;11;0.8167467;0.3380282;0.1113314;0.4990842;2.417493;0;0;2.494356;12
0;4.863766;mouse;1;11;0.6705559;0.1459667;0.6654481;0.1479137;2.581159;0.9255316;1.22398;2.929344;7
0;4.982759;instantiate;0;12;0.6781057;0.1382843;0.3172043;0.3039691;3.085221;0;0;2.158048;13
0;4.999748;destroy;0;12;0.6719286;0.1408451;0.7204252;0.7406558;2.969534;0;2.602081;2.590132;13
0;5.475742;destroy;0;13;0.4420041;0.6453265;0.3536085;0.2945127;2.60808;0;2.669476;2.655495;13
0;5.577732;mouse;1;13;0.4420041;0.6453265;0.4207366;0.6534853;2.742498;0.9900756;1.530001;2.953223;5
0;6.104916;mouse;1;13;0.2333562;0.53137;0.257096;0.537039;2.311578;0.9902536;1.122156;2.158048;4
0;6.597771;mouse;0;13;0.162663;0.7285531;0.1262765;0.7367074;1.382897;0.625735;2.125023;2.494356;3
0;6.801832;mouse;0;13;0.1352093;0.7298335;0.1374853;0.7548944;1.382897;0.4633446;2.329084;2.494356;3
0;6.971949;destroy;0;13;0.1448181;0.7336748;0.1468259;0.7700502;2.417493;0;2.499201;2.494356;13
1;0;instantiate;0;0;0.5339739;0.609475;0.6986757;0.2080215;2.842527;0;0;2.93349;14
1;0.3398285;instantiate;0;1;0.4996568;0.5377721;0.4647315;0.7811344;2.997546;0;0;2.351085;15
1;0.883625;mouse;1;1;0.7707618;0.3495519;0.7606418;0.3440111;2.016558;0.8102162;0.883625;2.93349;3
1;0.883625;instantiate;0;2;0.7707618;0.3495519;0.8477054;0.7629811;2.852935;0;0;3.249555;16
